page_name,day,amount_spent ,reporting _starts,reporting_ends
censored,27-01-2025,3283.77,27-01-2025,27-01-2025
censored,26-01-2025,3305.17,26-01-2025,26-01-2025
censored,25-01-2025,3026.49,25-01-2025,25-01-2025
censored,24-01-2025,3019.59,24-01-2025,24-01-2025
censored,23-01-2025,2831.62,23-01-2025,23-01-2025
censored,22-01-2025,2888.24,22-01-2025,22-01-2025
censored,21-01-2025,3035.33,21-01-2025,21-01-2025
censored,20-01-2025,2859.99,20-01-2025,20-01-2025
censored,19-01-2025,3229.17,19-01-2025,19-01-2025
censored,18-01-2025,2769.53,18-01-2025,18-01-2025
censored,17-01-2025,2126.63,17-01-2025,17-01-2025
censored,16-01-2025,2311.34,16-01-2025,16-01-2025
censored,15-01-2025,2826.11,15-01-2025,15-01-2025
censored,14-01-2025,2503.5,14-01-2025,14-01-2025
censored,13-01-2025,5250,13-01-2025,13-01-2025
censored,12-01-2025,3183.39,12-01-2025,12-01-2025
censored,11-01-2025,5229.8,11-01-2025,11-01-2025
censored,09-01-2025,386.46,09-01-2025,09-01-2025
censored,08-01-2025,3029.79,08-01-2025,08-01-2025
censored,07-01-2025,3032.94,07-01-2025,07-01-2025
censored,06-01-2025,3020.42,06-01-2025,06-01-2025
censored,05-01-2025,3194.4,05-01-2025,05-01-2025
censored,04-01-2025,5235.33,04-01-2025,04-01-2025
censored,03-01-2025,3944,03-01-2025,03-01-2025
censored,02-01-2025,5226.56,02-01-2025,02-01-2025
